"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mdiff1","iptw","dr1","id","phat","ate"
"Austria",1991,1.40654018,1.250468649,1.846260108,NA,NA,1.835764924,NA,NA,NA,NA,NA,NA,-2.256589705,-1.275856035,NA,0.037057789,-1.032491815,-1.161067221,1.481354621,1.317310914,1.422487745,NA,NA,NA,NA,NA,-0.000585408,1.407125588,0,NA,NA,-0.0129015662651906,0.000166450412095104,0,NA,NA,NA,"1",NA,1
"Austria",1992,1.416640507,1.24499956,1.831001008,NA,NA,1.834919039,NA,NA,NA,NA,NA,NA,-2.25057111,-1.260748584,NA,0.048429761,-1.033221619,-1.164182019,1.467740831,1.302632693,1.405263953,NA,NA,NA,NA,NA,-0.001556939,1.418197447,0,NA,NA,-0.0173353628477373,0.00030051480506271,0,NA,NA,NA,"1",NA,1
"Austria",1993,1.428134794,1.23984606,1.802027005,NA,NA,1.834071502,NA,NA,NA,NA,NA,NA,-2.279716296,-1.240120218,NA,0.034571509,-1.037284597,-1.172985664,1.454643237,1.2863576,1.392273236,NA,NA,NA,NA,NA,-0.0007648,1.428899594,0,NA,NA,-0.0136590118272975,0.000186568604098252,0,NA,NA,NA,"1",NA,1
"Austria",1994,1.439332694,1.242791149,1.82031848,NA,NA,1.833222308,NA,NA,NA,NA,NA,NA,-2.999524638,-1.278380783,NA,-0.184640118,-1.025035359,-1.155181848,1.476762275,1.310385505,1.395510074,NA,NA,NA,NA,NA,0.00187959,1.437453104,1,NA,NA,-0.0126992606918739,0,0.000161271222120173,NA,NA,NA,"1",NA,1
"Austria",1995,1.445604203,1.234807814,1.835005583,1.747411808,1.783903579,1.832783965,0.742735032,0.825140398,0.447158031,1.298853076,0.903089987,0.137318518,-3.010104696,-1.081124286,0.880718899,-0.21314995,-1.013215277,-1.144360326,1.237195741,1.095411643,1.406060528,NA,NA,NA,NA,1.832508913,0.004184282,1.441419921,1,0.46162093255728,2.16627958021794,-0.00888625551181343,0,7.89655370212346e-05,-9.20958933688098e-05,3.13158286603613,3.13149077014276,"1",0.46162093255728,1
"Austria",1996,1.439332694,1.243269259,1.846377835,1.746634199,1.79518459,1.830691092,0.740779186,0.829219895,0.431363764,1.29666519,0.886490725,0.150331113,-3.049601999,-1.057525352,0.903982219,-0.21715917,-1.00793273,-1.132842567,1.198009735,1.065914415,1.396656506,0.198868685,NA,NA,0.277751243,1.832508913,-0.000649182,1.439981875,0,0.46615570662884,1.87320537545719,-0.00302726301574885,9.16432136652082e-06,0,8.00233467966313e-06,-2.69616573947207,-2.69615773713739,"1",0.46615570662884,1
"Austria",1997,1.434568904,1.241993839,1.875020548,1.719331287,1.811575006,1.831078856,0.734553409,0.845494886,0.447158031,1.283301229,0.857332496,0.100138254,-3.115052572,-1.032628995,0.907564081,-0.239386801,-1.019197881,-1.1512556,1.188819913,1.052453284,1.408865225,0.21877438,NA,NA,0.308223617,1.800717078,-0.001358017,1.435926921,0,0.480772475649958,1.92593796188247,-0.000306850252731472,9.41570776013676e-08,0,8.71836125310198e-08,-2.76289071114973,-2.76289062396612,"1",0.480772475649958,1
"Austria",1998,1.431363764,1.240881704,1.88698567,1.719331287,1.818225894,1.831696493,0.728658791,0.854738808,0.462397998,1.276461804,0.84509804,0.116348055,-3.138019394,-1.028508765,0.902652675,-0.242778635,-1.050396297,-1.168722248,1.202041075,1.080341798,1.417353272,0.238435037,3.366872428,4.772047651,0.337946679,1.803457116,-0.000119769,1.431483533,0,0.483477227653694,1.93602306333465,0.00206529788276555,4.26545534455586e-06,0,3.99256457812833e-06,-2.77115325912549,-2.77114926656092,"1",0.483477227653694,1
"Austria",1999,1.426511261,1.23910804,1.894201209,1.717670503,1.782472624,1.834823707,0.731039963,0.86213278,0.491361694,1.276461804,0.851258349,0.097417202,-3.108760549,-1.024239629,0.913052909,-0.242197959,-1.042055746,-1.165417199,1.19366648,1.06731479,1.423646667,0.266083456,3.395656576,4.834215167,0.378808825,1.822168079,-0.001198546,1.427709807,0,0.488230734237605,1.95400557810027,0.00689535000755259,4.75458517266555e-05,0,4.53590077627578e-05,-2.78741096121685,-2.78736560220909,"1",0.488230734237605,1
"Austria",2000,1.424881637,1.240405701,1.931832928,1.705863712,NA,1.835690571,0.717161468,0.85351839,0.477121255,1.271841607,0.84509804,0.052841154,-3.171661316,-1.043056949,0.896597233,-0.248115308,-1.054759467,-1.152273167,1.201886534,1.100174191,1.429971389,0.275546294,3.422620794,4.894249809,0.394023316,1.818885415,-0.000678985,1.425560621,0,0.494033415148169,1.976415103169,0.00791782495572924,6.26919520295687e-05,0,6.12133688088175e-05,-2.81615758759497,-2.81609637422616,"1",0.494033415148169,1
"Austria",2001,1.424881637,1.232375672,1.94269547,1.711807229,NA,1.834897339,0.715263657,0.848931672,0.477121255,1.269512944,0.826074803,0.043298437,-3.047798384,-1.014669999,0.893257626,-0.243777086,-1.077494599,-1.153630094,1.170553846,1.093301443,1.429956881,0.299311135,3.44807188,4.93059411,0.428002018,1.822821645,-7.63e-05,1.424957914,0,0.492503479229236,1.97045685846524,0.000222586055013352,4.95445518864065e-08,0,4.80808501777501e-08,-2.80766779412783,-2.80766774604698,"1",0.492503479229236,1
"Austria",2002,1.426511261,1.235885934,1.939319279,1.709269961,NA,1.837272703,0.714708231,0.864436156,0.491361694,1.274157849,0.851258349,0.103887686,-3.099327775,-1.027197871,0.898965635,-0.274221452,-1.095619383,-1.15577825,1.187212957,1.125417898,1.441245604,0.315126113,3.472124955,5.004184826,0.454174125,1.822821645,0.001272804,1.425238457,1,0.491827837450958,2.03323180156453,0.00123572704795416,0,1.5270213370455e-06,-1.57776700710301e-06,2.90042806115512,2.90042648338812,"1",0.491827837450958,1
"Austria",2003,1.426511261,1.232868081,1.936976257,1.711807229,NA,1.838534271,0.72202255,0.871334311,0.505149978,1.281033367,0.851258349,0.131586843,-3.088030367,-1.027302846,0.888093431,-0.263863355,-1.050186165,-1.151968606,1.183420628,1.078859236,1.430348942,0.337371395,3.503992944,5.011932601,0.482558818,1.81756537,0.000837978,1.425673283,1,0.49113437289465,2.03610265375277,0.00751296976726512,0,5.64447147238397e-05,-5.84825187156884e-05,2.90452336413031,2.90446488161159,"1",0.49113437289465,1
"Austria",2004,1.426511261,1.235476533,1.958727966,1.731588765,1.790988475,1.822984883,0.692788681,0.87730511,0.51851394,1.274157849,0.84509804,0.10931727,-3.114196281,-1.038883952,0.885307737,-0.267450244,-0.989479138,-1.117450427,1.160901315,1.027953997,1.435313691,0.335682512,3.499521399,5.022910975,0.481809706,1.813580989,-0.000119101,1.426630362,0,0.483156040360225,1.93481994197431,0.00496806210720058,2.46816411010023e-05,0,2.30728903018696e-05,-2.76004243523371,-2.76001936234341,"1",0.483156040360225,1
