idem;year;Gini_net;gdp_gro;Trade;Gov_ex;Secondary_ed;employ_rate;Education_exp;Health_exp;Soc_kind;Soc_payable;Social_prot_ex_pen;Unemp_tra;Property_taxes;PIT;ind_tx;Corporate_ta;mrp_all;arp_mid;pi_a;pi_m;sav_gdp;RD_gdp;res_1mill;rd;rd1;Gov_debt;cycle;trend;gi_bb
Austria;1993;1.428134794;1.23984606;1.802027005;NA;NA;1.834071502;NA;NA;NA;NA;NA;NA;-2.279716296;-1.240120218;NA;0.034571509;-1.037284597;-1.172985664;1.454643237;1.2863576;1.392273236;NA;NA;NA;NA;NA;-0.0007648;1.428899594;0
Austria;1994;1.439332694;1.242791149;1.82031848;NA;NA;1.833222308;NA;NA;NA;NA;NA;NA;-2.999524638;-1.278380783;NA;-0.184640118;-1.025035359;-1.155181848;1.476762275;1.310385505;1.395510074;NA;NA;NA;NA;NA;0.00187959;1.437453104;1
Austria;1995;1.445604203;1.234807814;1.835005583;1.747411808;1.783903579;1.832783965;0.742735032;0.825140398;0.447158031;1.298853076;0.903089987;0.137318518;-3.010104696;-1.081124286;0.880718899;-0.21314995;-1.013215277;-1.144360326;1.237195741;1.095411643;1.406060528;NA;NA;NA;NA;1.832508913;0.004184282;1.441419921;1
Austria;1996;1.439332694;1.243269259;1.846377835;1.746634199;1.79518459;1.830691092;0.740779186;0.829219895;0.431363764;1.29666519;0.886490725;0.150331113;-3.049601999;-1.057525352;0.903982219;-0.21715917;-1.00793273;-1.132842567;1.198009735;1.065914415;1.396656506;0.198868685;NA;NA;0.277751243;1.832508913;-0.000649182;1.439981875;0
Austria;1997;1.434568904;1.241993839;1.875020548;1.719331287;1.811575006;1.831078856;0.734553409;0.845494886;0.447158031;1.283301229;0.857332496;0.100138254;-3.115052572;-1.032628995;0.907564081;-0.239386801;-1.019197881;-1.1512556;1.188819913;1.052453284;1.408865225;0.21877438;NA;NA;0.308223617;1.800717078;-0.001358017;1.435926921;0
Austria;1998;1.431363764;1.240881704;1.88698567;1.719331287;1.818225894;1.831696493;0.728658791;0.854738808;0.462397998;1.276461804;0.84509804;0.116348055;-3.138019394;-1.028508765;0.902652675;-0.242778635;-1.050396297;-1.168722248;1.202041075;1.080341798;1.417353272;0.238435037;3.366872428;4.772047651;0.337946679;1.803457116;-0.000119769;1.431483533;0
Austria;1999;1.426511261;1.23910804;1.894201209;1.717670503;1.782472624;1.834823707;0.731039963;0.86213278;0.491361694;1.276461804;0.851258349;0.097417202;-3.108760549;-1.024239629;0.913052909;-0.242197959;-1.042055746;-1.165417199;1.19366648;1.06731479;1.423646667;0.266083456;3.395656576;4.834215167;0.378808825;1.822168079;-0.001198546;1.427709807;0
Austria;2000;1.424881637;1.240405701;1.931832928;1.705863712;NA;1.835690571;0.717161468;0.85351839;0.477121255;1.271841607;0.84509804;0.052841154;-3.171661316;-1.043056949;0.896597233;-0.248115308;-1.054759467;-1.152273167;1.201886534;1.100174191;1.429971389;0.275546294;3.422620794;4.894249809;0.394023316;1.818885415;-0.000678985;1.425560621;0
Austria;2001;1.424881637;1.232375672;1.94269547;1.711807229;NA;1.834897339;0.715263657;0.848931672;0.477121255;1.269512944;0.826074803;0.043298437;-3.047798384;-1.014669999;0.893257626;-0.243777086;-1.077494599;-1.153630094;1.170553846;1.093301443;1.429956881;0.299311135;3.44807188;4.93059411;0.428002018;1.822821645;-7.63E-05;1.424957914;0
Austria;2002;1.426511261;1.235885934;1.939319279;1.709269961;NA;1.837272703;0.714708231;0.864436156;0.491361694;1.274157849;0.851258349;0.103887686;-3.099327775;-1.027197871;0.898965635;-0.274221452;-1.095619383;-1.15577825;1.187212957;1.125417898;1.441245604;0.315126113;3.472124955;5.004184826;0.454174125;1.822821645;0.001272804;1.425238457;1
