idem;year;debt_g;Gov_debt;Unempl_rate;Wages;HICP;Net_mig;Gini_net;Gini_market;Net_len_wi;Quantiles;le_male;le_female;Deciles;Health_exp;Education_exp;Social_prot_ex_pen;Social_prot;Family;Unemp_tra;Corporate_ta;pro_imp_tx;ind_tx;property_tx;PIT;cit_total;Property_taxes;VAT;trade;pop_gro;Trade;TOT;GDP;GDP_pc;Secondary_ed;Tertiary_ed;td_male;td_female;leavers;Gov_ex;Deficit;Soc_payable;Soc_kind;employ_rate;arp_mid;mrp_all;insaccess;goveff;regqua;ruleoflaw;voice;instdepth;ins_effic;RD_gdp;res_1mill;sav_gdp;Savings_percapit;ICT;gi_trend;ed_trend;he_trend;soc_trend;kind_trend;prt_trend;indt_trend;pit_trend;gi_cycle;ed_cycle;he_cycle;soc_cycle;kind_cycle;prt_cycle;indt_cycle;pit_cycle;gi_bb;ed_bb;he_bb;soc_bb;kind_bb;prt_bb;indt_bb;pit_bb;gdppc_gro;gdp_gro;insde_d;tot_d;debt_d;redis;pi_m;pi_a;rd;rd1;dtrade;lgini;lgdpg;leduc;lkind;lpay;mdiff1;iptw;dr1
Austria;1990;A;NA;NA;NA;NA;NA;1.396199347;1.608526034;0.447514627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.029790687;NA;NA;0.029790687;0.226357965;-2.012687685;-2.277617948;-1.244257853;-2.307453765;NA;1.855099275;2.029208826;5.132308369;1.232280586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.173401746;-1.03766287;-0.325349729;NA;NA;NA;NA;-0.232212947;-0.119927213;NA;NA;1.417379398;3.753458501;NA;1.39848662;0.701665639;0.881056071;1.271015141;0.537279669;-2.163791393;0.887367808;-1.307741073;-0.002287273;0.003809033;-0.004647823;0.002063867;-0.009396502;-0.113826555;0.001112908;0.014299161;0;1;0;1;0;0;1;1;NA;NA;NA;NA;NA;0.608526034;1.342156646;1.517726997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Austria;1991;A;NA;NA;NA;NA;0.924279286;1.40654018;1.612783857;0.447514627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.037057789;NA;NA;0.037057789;0.225112288;-2.000450909;-2.256589705;-1.249547575;-2.301502135;0.000629764;1.846260108;2.028677997;5.167322062;1.25844595;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.835764924;-1.161067221;-1.032491815;-0.243232049;NA;NA;NA;NA;-0.229649827;-0.089625235;NA;NA;1.422487745;3.77294727;NA;1.408815387;0.704687368;0.877071332;1.273031966;0.530113718;-2.273909368;0.887555238;-1.283581455;-0.002275206;0.000787305;-0.000663084;4.70E-05;-0.002230551;0.017319662;0.000925478;0.00772542;0;1;0;1;0;1;1;1;5.417783597;1.250468649;0.080027732;1.971104352;NA;0.612783857;1.317310914;1.481354621;NA;NA;-0.008839167;1.396199347;NA;NA;NA;NA;NA;NA;NA
Austria;1992;A;NA;NA;NA;NA;1.029383778;1.416640507;1.617000341;0.447514627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.048429761;NA;NA;0.048429761;0.225979209;-1.911133564;-2.25057111;-1.249367744;-2.306070633;0.000693749;1.831001008;2.025885875;5.188314134;1.284005481;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.834919039;-1.164182019;-1.033221619;-0.246767455;NA;NA;NA;NA;-0.228881771;-0.090217476;NA;NA;1.405263953;3.801117193;NA;1.41877819;0.708318542;0.872342941;1.275379009;0.521444326;-2.402239591;0.887920734;-1.257133972;-0.002137683;-0.00284387;0.004065307;-0.002300001;0.006438841;0.151668482;0.000559982;-0.003614612;0;0;1;0;1;1;1;0;4.968177995;1.24499956;0.082796794;1.969407221;NA;0.617000341;1.302632693;1.467740831;NA;NA;-0.015259101;1.40654018;1.250468649;NA;NA;NA;NA;NA;NA
Austria;1993;A;NA;NA;NA;NA;0.995635195;1.428134794;1.621176282;0.447514627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.034571509;NA;NA;0.034571509;0.226507164;-1.97302717;-2.279716296;-1.255900719;-2.33378287;0.000519448;1.802027005;2.024116951;5.192864779;1.3130248;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.834071502;-1.172985664;-1.037284597;-0.215116174;NA;NA;NA;NA;-0.223582233;-0.081927768;NA;NA;1.392273236;3.773957273;NA;1.427645033;0.713294576;0.866021153;1.278394017;0.509411166;-2.564223166;0.888790437;-1.224874691;0.000489761;-0.007819903;0.010387095;-0.005315009;0.018472001;0.28450687;-0.00030972;-0.015245527;1;0;1;0;1;1;0;0;4.623237534;1.23984606;0.075148096;1.973043007;NA;0.621176282;1.2863576;1.454643237;NA;NA;-0.028974003;1.416640507;1.24499956;NA;NA;NA;NA;NA;NA
Austria;1994;A;NA;NA;NA;NA;0.698970004;1.439332694;1.625312451;0.447514627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.184640118;NA;NA;-0.184640118;0.229266686;-1.992472373;-2.999524638;-1.216087456;-2.357423492;0.000242322;1.82031848;2.025433624;5.210855236;1.335183797;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.833222308;-1.155181848;-1.025035359;-0.222032734;NA;NA;NA;NA;-0.231781692;-0.086470232;NA;NA;1.395510074;3.804541577;NA;1.43434389;0.719895864;0.857906672;1.282046735;0.493184123;-2.751034239;0.890580085;-1.183858015;0.004988804;-0.014421191;0.018501576;-0.008967727;0.034699044;-0.248490399;-0.002099369;-0.094522768;1;0;1;0;1;0;0;0;4.265424965;1.242791149;0.079922371;1.977736646;NA;0.625312451;1.310385505;1.476762275;NA;NA;0.018291476;1.428134794;1.23984606;NA;NA;NA;NA;NA;NA
Austria;1995;A;1.832508913;0.643452676;5.005223854;NA;0.079181246;1.445604203;1.625312451;0;0.046207443;NA;NA;0.365049885;0.825140398;0.742735032;0.903089987;1.340444115;0.507877004;0.137318518;-0.21314995;1.165456964;0.880718899;-0.21314995;0.235305272;-1.89157014;-3.010104696;-1.118665144;-4.218935014;9.64E-05;1.835005583;2.026971405;5.199596949;1.36537247;1.783903579;0.903089987;NA;NA;NA;1.747411808;0;1.298853076;0.447158031;1.832783965;-1.144360326;-1.013215277;-0.232364352;NA;NA;NA;NA;-0.215328072;-0.089476442;NA;NA;1.406060528;3.887873505;NA;1.437881097;0.727151617;0.849462138;1.285456506;0.474888604;-2.908325855;0.893655864;-1.133577635;0.007723107;0.015583415;-0.02432174;0.01339657;-0.027730573;-0.101778841;-0.012936965;0.052453349;1;1;0;1;0;0;0;1;4.073503791;1.234807814;0.082355171;1.976696841;NA;0.625312451;1.095411643;1.237195741;NA;NA;0.014687103;1.439332694;1.242791149;NA;NA;NA;NA;NA;NA
Austria;1996;A;1.832508913;0.72427587;4.987087714;0.380211242;0.041392685;1.439332694;1.62838893;0.423131139;0.025430796;NA;NA;0.338647129;0.829219895;0.740779186;0.886490725;1.338456494;0.485353574;0.150331113;-0.21715917;1.17511215;0.903982219;-0.21715917;0.234578569;-1.748378154;-3.049601999;-1.094853377;NA;8.50E-05;1.846377835;2.020526377;5.221229787;1.370906866;1.79518459;0.913813852;NA;NA;NA;1.746634199;0.447158031;1.29666519;0.431363764;1.830691092;-1.132842567;-1.00793273;-0.222004594;0.268959275;0.196908706;0.255602501;0.172891419;-0.186971064;-0.091726305;0.198868685;NA;1.396656506;3.871005032;NA;1.438061198;0.731783654;0.845110441;1.286307839;0.462201863;-3.021509526;0.898048057;-1.088650882;0.001271496;0.008995532;-0.015890546;0.010357352;-0.030838099;-0.028092472;0.005934162;0.03112553;1;1;0;1;0;0;1;1;3.752080357;1.243269259;0.084193014;1.967461185;2.201188341;0.62838893;1.065914415;1.198009735;NA;0.277751243;0.011372252;1.445604203;1.234807814;0.742735032;0.447158031;1.298853076;NA;NA;NA
Austria;1997;A;1.800717078;0.716003344;4.932426578;0.255272505;0.113943352;1.434568904;1.632457292;0.64830145;0.032216237;NA;NA;0.320301645;0.845494886;0.734553409;0.857332496;1.326335861;0.452155155;0.100138254;-0.239386801;1.182506038;0.907564081;-0.239386801;0.232940121;-1.721502273;-3.115052572;-1.091029923;NA;7.13E-05;1.875020548;2.015806936;5.242741386;1.372469202;1.811575006;0.919078092;NA;NA;NA;1.719331287;0.681241237;1.283301229;0.447158031;1.831078856;-1.1512556;-1.019197881;-0.21394413;0.271472403;0.163117379;0.25947439;0.157425938;-0.191965993;-0.084941244;0.21877438;NA;1.408865225;3.835465591;NA;1.435924435;0.733007142;0.845382995;1.284428691;0.458364261;-3.092281376;0.901717035;-1.055302553;-0.001355531;0.001546266;0.000111892;-0.001127463;-0.011206229;-0.022771196;0.005847046;0.022673558;0;1;1;0;0;0;1;1;3.700306806;1.241993839;0.077804522;1.975261965;2.16300036;0.632457292;1.052453284;1.188819913;NA;0.308223617;0.028642713;1.439332694;1.243269259;0.740779186;0.431363764;1.29666519;NA;NA;NA
Austria;1998;A;1.803457116;0.740362689;4.943991345;0.146128036;0;1.431363764;1.636487896;0.558216411;0.00609931;NA;NA;0.296647019;0.854738808;0.728658791;0.84509804;1.320146286;0.420017629;0.116348055;-0.242778635;1.180042601;0.902652675;-0.242778635;0.212338641;-1.693863731;-3.138019394;-1.096116483;-5.950601589;6.91E-05;1.88698567;2.014166323;5.264740162;1.388232323;1.818225894;0.913813852;NA;NA;NA;1.719331287;0.653212514;1.276461804;0.462397998;1.831696493;-1.168722248;-1.050396297;-0.210206917;0.273971071;0.126473274;0.263312065;0.141389322;-0.198500843;-0.08344651;0.238435037;3.366872428;1.417353272;3.854499128;NA;1.432714489;0.731476533;0.848268725;1.2813042;0.461682064;-3.126832327;0.903572634;-1.034777359;-0.001350724;-0.002817742;0.006470083;-0.004842396;0.000715934;-0.011187068;-0.00091996;0.006268595;0;0;1;0;1;0;0;1;3.727106339;1.240881704;0.076913391;1.982823951;2.252302548;0.636487896;1.080341798;1.202041075;4.772047651;0.337946679;0.011965122;1.434568904;1.241993839;0.734553409;0.447158031;1.283301229;NA;NA;NA
Austria;1999;A;1.822168079;0.672097858;4.940849051;0.041392685;0.188229908;1.426511261;1.639486489;0.501483759;-0.003516222;NA;NA;0.290766805;0.86213278;0.731039963;0.851258349;1.324282455;0.450589961;0.097417202;-0.242197959;1.183136954;0.913052909;-0.242197959;0.218339496;-1.774020246;-3.108760549;-1.086020056;-4.473875951;0.00012242;1.894201209;2.011965686;5.284473823;1.40663912;1.782472624;1.155336037;NA;NA;NA;1.717670503;0.662757832;1.276461804;0.491361694;1.834823707;-1.165417199;-1.042055746;-0.181488555;0.282178286;0.151031629;0.260910688;0.134268246;-0.198759191;-0.071544052;0.266083456;3.395656576;1.423646667;3.857804987;NA;1.429458155;0.72809368;0.85177446;1.278239105;0.468668541;-3.134996689;0.903460218;-1.024692242;-0.002946894;0.002946283;0.01035832;-0.001777301;0.022693153;0.026236139;0.00959269;0.000452613;0;1;1;0;1;1;1;1;3.623189097;1.23910804;0.066033764;1.98386166;2.267909567;0.639486489;1.06731479;1.19366648;4.834215167;0.378808825;0.007215538;1.431363764;1.240881704;0.728658791;0.462397998;1.276461804;NA;NA;NA
